iter	Passed	Remaining
0	0	874
1	1	792
2	2	751
3	2	722
4	3	710
5	4	700
6	4	693
7	5	700
8	6	693
9	6	687
10	7	683
11	9	773
12	10	790
13	11	786
14	12	806
15	13	806
16	14	817
17	16	882
18	17	881
19	17	874
20	18	864
21	19	854
22	19	847
23	20	837
24	21	834
25	22	826
26	23	859
27	24	856
28	25	853
29	26	855
30	27	853
31	28	875
32	30	893
33	31	886
34	31	878
35	32	871
36	33	865
37	33	858
38	34	852
39	35	848
40	36	842
41	36	836
42	38	854
43	39	856
44	40	854
45	41	852
46	42	857
47	43	872
48	45	879
49	46	874
50	46	869
51	47	863
52	48	858
53	48	853
54	49	849
55	50	846
56	50	841
57	51	836
58	53	848
59	54	846
60	54	844
61	55	843
62	56	841
63	57	839
64	59	862
65	60	862
66	61	858
67	62	853
68	62	848
69	63	844
70	64	840
71	64	835
72	65	830
73	66	826
74	68	842
75	69	849
76	70	849
77	71	849
78	74	867
79	75	867
80	76	863
81	76	859
82	77	851
83	77	846
84	78	842
85	78	838
86	79	833
87	80	829
88	81	830
89	81	827
90	82	825
91	83	824
92	85	831
93	86	831
94	86	828
95	87	824
96	88	821
97	88	817
98	89	813
99	90	810
100	90	806
101	91	803
102	91	800
103	92	796
104	93	793
105	93	790
106	94	787
107	94	784
108	96	787
109	97	786
110	97	783
111	98	783
112	99	783
113	100	783
114	102	790
115	103	788
116	103	784
117	104	781
118	105	778
119	105	775
120	106	772
121	106	768
122	107	765
123	107	762
124	108	759
125	109	757
126	109	754
127	110	752
128	111	752
129	112	751
130	113	750
131	114	754
132	115	753
133	116	751
134	116	748
135	117	745
136	117	743
137	118	740
138	119	738
139	119	735
140	120	733
141	120	729
142	121	727
143	122	725
144	122	723
145	123	720
146	123	718
147	124	715
148	125	714
149	126	716
150	127	714
151	127	713
152	129	718
153	130	717
154	131	715
155	131	713
156	132	711
157	133	709
158	133	707
159	134	705
160	134	702
161	135	700
162	135	698
163	136	696
164	137	694
165	137	692
166	138	690
167	139	688
168	140	692
169	141	691
170	142	689
171	143	688
172	144	692
173	145	691
174	146	689
175	146	687
176	147	685
177	148	683
178	148	681
179	149	679
180	149	677
181	150	675
182	151	674
183	151	673
184	152	671
185	152	669
186	153	667
187	154	665
188	154	664
189	155	663
190	156	662
191	157	661
192	157	660
193	159	663
194	160	663
195	161	662
196	162	660
197	162	658
198	163	656
199	163	655
200	164	653
201	164	651
202	165	649
203	166	648
204	166	647
205	167	645
206	168	643
207	168	641
208	169	640
209	170	641
210	171	640
211	172	639
212	174	643
213	174	642
214	175	640
215	176	639
216	176	638
217	177	636
218	178	634
219	178	633
220	179	631
221	179	630
222	180	628
223	180	626
224	181	625
225	182	623
226	183	623
227	183	621
228	184	620
229	185	619
230	185	618
231	186	616
232	187	615
233	187	614
234	190	618
235	190	617
236	191	615
237	191	614
238	192	612
239	192	611
240	193	609
241	194	608
242	194	607
243	195	606
244	196	604
245	196	603
246	197	601
247	197	600
248	198	599
249	200	600
250	201	601
251	203	603
252	204	604
253	205	603
254	205	601
255	206	600
256	207	598
257	207	597
258	208	596
259	209	595
260	209	593
261	210	592
262	210	590
263	211	589
264	211	587
265	212	586
266	213	586
267	214	586
268	215	585
269	216	584
270	216	583
271	217	583
272	218	583
273	219	582
274	220	581
275	221	580
276	221	579
277	222	577
278	222	576
279	223	574
280	224	573
281	224	572
282	225	570
283	225	569
284	226	568
285	227	567
286	227	566
287	228	564
288	229	564
289	229	562
290	230	561
291	231	560
292	231	559
293	232	558
294	233	557
295	234	556
296	234	555
297	235	554
298	235	553
299	236	552
300	237	550
301	237	550
302	238	549
303	239	547
304	240	547
305	240	546
306	241	545
307	242	543
308	242	542
309	243	541
310	244	540
311	245	542
312	246	541
313	247	540
314	248	539
315	248	538
316	249	537
317	249	535
318	250	534
319	251	534
320	251	532
321	252	531
322	253	530
323	253	529
324	254	528
325	255	527
326	255	526
327	256	525
328	257	524
329	258	523
330	259	523
331	260	523
332	261	523
333	262	523
334	263	524
335	264	523
336	265	522
337	266	521
338	266	520
339	267	518
340	267	517
341	268	516
342	269	515
343	269	514
344	270	513
345	271	512
346	271	511
347	272	510
348	272	509
349	273	508
350	274	507
351	275	507
352	277	508
353	278	507
354	278	506
355	279	505
356	280	504
357	280	503
358	281	502
359	282	501
360	283	501
361	284	500
362	284	499
363	285	498
364	285	497
365	286	496
366	287	495
367	288	494
368	288	494
369	290	494
370	291	494
371	292	493
372	292	492
373	293	491
374	293	489
375	294	488
376	295	487
377	295	486
378	296	485
379	296	484
380	297	483
381	298	482
382	299	481
383	299	481
384	301	480
385	302	480
386	302	479
387	304	480
388	305	479
389	306	478
390	306	477
391	307	477
392	308	476
393	309	475
394	309	474
395	310	473
396	310	471
397	311	470
398	311	469
399	312	468
400	313	468
401	314	467
402	315	467
403	316	466
404	316	465
405	317	464
406	318	463
407	319	464
408	320	463
409	321	462
410	322	461
411	322	460
412	323	459
413	323	458
414	324	457
415	325	456
416	325	455
417	326	454
418	327	453
419	328	453
420	329	452
421	330	452
422	330	451
423	331	450
424	332	449
425	333	448
426	334	448
427	335	447
428	335	446
429	336	445
430	336	444
431	337	443
432	338	442
433	338	441
434	339	440
435	340	439
436	340	439
437	341	438
438	342	437
439	343	436
440	343	435
441	344	434
442	345	433
443	345	432
444	346	431
445	346	430
446	347	429
447	349	430
448	349	429
449	350	428
450	351	427
451	351	426
452	352	425
453	352	424
454	353	423
455	354	422
456	355	422
457	356	421
458	356	420
459	357	419
460	357	418
461	358	417
462	359	416
463	359	415
464	360	414
465	360	413
466	361	412
467	361	411
468	362	410
469	364	410
470	365	410
471	365	409
472	366	408
473	367	407
474	368	406
475	368	405
476	369	404
477	370	404
478	370	403
479	371	402
480	371	401
481	372	400
482	372	399
483	373	398
484	374	397
485	374	396
486	375	395
487	375	394
488	376	393
489	377	392
490	379	393
491	380	392
492	381	391
493	381	391
494	382	390
495	383	389
496	383	388
497	384	387
498	384	386
499	385	385
500	386	384
501	386	383
502	387	382
503	387	381
504	388	380
505	388	379
506	389	378
507	390	377
508	390	376
509	391	375
510	391	374
511	393	374
512	441	418
513	444	419
514	445	419
515	446	418
516	447	417
517	448	417
518	449	416
519	452	418
520	455	418
521	456	418
522	458	417
523	459	417
524	460	416
525	461	415
526	462	414
527	462	413
528	463	412
529	464	411
530	465	410
531	465	409
532	466	408
